Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bergen - Florida;SN50540;25.09.2021;36.3
Bergen - Florida;SN50540;26.09.2021;0.1
Bergen - Florida;SN50540;27.09.2021;0.2
Bergen - Florida;SN50540;28.09.2021;20.9
Bergen - Florida;SN50540;29.09.2021;0
Bergen - Florida;SN50540;30.09.2021;1.4
Bergen - Florida;SN50540;01.10.2021;3.4
Bergen - Florida;SN50540;02.10.2021;10.3
Bergen - Florida;SN50540;03.10.2021;5.5
Bergen - Florida;SN50540;04.10.2021;20.4
Bergen - Florida;SN50540;05.10.2021;39.2
Bergen - Florida;SN50540;06.10.2021;3.5
Bergen - Florida;SN50540;07.10.2021;4.6
Bergen - Florida;SN50540;08.10.2021;46
Bergen - Florida;SN50540;09.10.2021;31
Bergen - Florida;SN50540;10.10.2021;33.4
Bergen - Florida;SN50540;11.10.2021;26.4
Bergen - Florida;SN50540;12.10.2021;13.7
Bergen - Florida;SN50540;13.10.2021;0.1
Bergen - Florida;SN50540;14.10.2021;18.4
Bergen - Florida;SN50540;15.10.2021;31.8
Bergen - Florida;SN50540;16.10.2021;16.9
Bergen - Florida;SN50540;17.10.2021;4.6
Bergen - Florida;SN50540;18.10.2021;0
Bergen - Florida;SN50540;19.10.2021;4.8
Bergen - Florida;SN50540;20.10.2021;56.9
Bergen - Florida;SN50540;21.10.2021;27.6
Bergen - Florida;SN50540;22.10.2021;8.8
Bergen - Florida;SN50540;23.10.2021;7.2
Bergen - Florida;SN50540;24.10.2021;2.2
Bergen - Florida;SN50540;25.10.2021;50.7
Bergen - Florida;SN50540;26.10.2021;10.5
Bergen - Florida;SN50540;27.10.2021;32.3
Bergen - Florida;SN50540;28.10.2021;26
Bergen - Florida;SN50540;29.10.2021;87.9
Bergen - Florida;SN50540;30.10.2021;10.6
Bergen - Florida;SN50540;31.10.2021;6.7
Bergen - Florida;SN50540;01.11.2021;13.8
Bergen - Florida;SN50540;02.11.2021;7.7
Bergen - Florida;SN50540;03.11.2021;0.8
Bergen - Florida;SN50540;04.11.2021;1.9
Bergen - Florida;SN50540;05.11.2021;5.2
Bergen - Florida;SN50540;06.11.2021;15.5
Bergen - Florida;SN50540;07.11.2021;25
