Name;Station;Time(norwegian mean time);Precipitation (24 h);Average of mean wind speed from main obs. (24 h);Mean air temperature (24 h)
Bergen - Florida;SN50540;01.08.2021;0;5.4;15.5
Bergen - Florida;SN50540;02.08.2021;0;3.5;13.8
Bergen - Florida;SN50540;03.08.2021;0;2.5;13.2
Bergen - Florida;SN50540;04.08.2021;0;2.1;14.4
Bergen - Florida;SN50540;05.08.2021;0;2.8;16.3
Bergen - Florida;SN50540;06.08.2021;0;2.9;19
Bergen - Florida;SN50540;07.08.2021;0.5;4.3;19.9
Bergen - Florida;SN50540;08.08.2021;0;2.2;18.4
Bergen - Florida;SN50540;09.08.2021;0.9;1.7;16.6
Bergen - Florida;SN50540;10.08.2021;21.3;2.9;17.4
Bergen - Florida;SN50540;11.08.2021;0;2.3;17
Bergen - Florida;SN50540;12.08.2021;0.1;3.4;16.6
Bergen - Florida;SN50540;13.08.2021;3.4;3.7;14.6
Bergen - Florida;SN50540;14.08.2021;6.6;3;14.8
Bergen - Florida;SN50540;15.08.2021;19;1.9;12.8
Bergen - Florida;SN50540;16.08.2021;6;2.7;15.7
Bergen - Florida;SN50540;17.08.2021;0.1;2.8;15
Bergen - Florida;SN50540;18.08.2021;0.1;4.2;14.1
Bergen - Florida;SN50540;19.08.2021;1;4.2;14.3
Bergen - Florida;SN50540;20.08.2021;0.2;2.6;13.7
Bergen - Florida;SN50540;21.08.2021;0;2;14
Bergen - Florida;SN50540;22.08.2021;0;1.7;14.8
Bergen - Florida;SN50540;23.08.2021;0.1;2;14.7
Bergen - Florida;SN50540;24.08.2021;0;2.2;14.6
Bergen - Florida;SN50540;25.08.2021;7.4;7.1;15.6
Bergen - Florida;SN50540;26.08.2021;0;3.9;17
Bergen - Florida;SN50540;27.08.2021;0;2;16.3
Bergen - Florida;SN50540;28.08.2021;0;2.2;15.7
Bergen - Florida;SN50540;29.08.2021;0;2.2;15.5
Bergen - Florida;SN50540;30.08.2021;0;2.7;14.2
Bergen - Florida;SN50540;31.08.2021;0;4.1;15.3
Bergen - Florida;SN50540;01.09.2021;0;4.5;15.2
Bergen - Florida;SN50540;02.09.2021;0;3.9;13.4
Bergen - Florida;SN50540;03.09.2021;1.3;3.2;13.3
Bergen - Florida;SN50540;04.09.2021;0;2.4;12.1
Bergen - Florida;SN50540;05.09.2021;0;2.8;14
Bergen - Florida;SN50540;06.09.2021;0;3.8;14.1
Bergen - Florida;SN50540;07.09.2021;2;4.3;14.9
Bergen - Florida;SN50540;08.09.2021;12.7;3.5;17
Bergen - Florida;SN50540;09.09.2021;0.9;2.3;17.9
Bergen - Florida;SN50540;10.09.2021;0;1.3;17.6
Bergen - Florida;SN50540;11.09.2021;3.2;2;16.3
Bergen - Florida;SN50540;12.09.2021;20.2;3.6;13.3
Bergen - Florida;SN50540;13.09.2021;0;2.6;12.3
Bergen - Florida;SN50540;14.09.2021;0;1.8;11.4
Bergen - Florida;SN50540;15.09.2021;0;1.6;13.2
Bergen - Florida;SN50540;16.09.2021;1.2;1.4;13.7
Bergen - Florida;SN50540;17.09.2021;0.7;2.1;13.8
Bergen - Florida;SN50540;18.09.2021;0;3;14.5
Bergen - Florida;SN50540;19.09.2021;0;2.6;14.4
Bergen - Florida;SN50540;20.09.2021;0;4.9;12.9
Bergen - Florida;SN50540;21.09.2021;11.9;2.8;12.6
Bergen - Florida;SN50540;22.09.2021;0.9;4.4;13.4
Bergen - Florida;SN50540;23.09.2021;41.9;3.9;9.9
Bergen - Florida;SN50540;24.09.2021;24.2;3.9;10.4
Bergen - Florida;SN50540;25.09.2021;36.3;3.2;11.4
Bergen - Florida;SN50540;26.09.2021;0.1;4.8;16.1
Bergen - Florida;SN50540;27.09.2021;0.2;7.2;19
Bergen - Florida;SN50540;28.09.2021;20.9;4.9;13.4
Bergen - Florida;SN50540;29.09.2021;0;4.1;15.2
Bergen - Florida;SN50540;30.09.2021;1.4;2.7;13.2
Bergen - Florida;SN50540;01.10.2021;3.4;5.6;12.9
Bergen - Florida;SN50540;02.10.2021;10.3;5.4;11.7
Bergen - Florida;SN50540;03.10.2021;5.5;8.2;13.6
Bergen - Florida;SN50540;04.10.2021;20.4;5;11.7
Bergen - Florida;SN50540;05.10.2021;39.2;2.2;11
Bergen - Florida;SN50540;06.10.2021;3.5;1.4;10
Bergen - Florida;SN50540;07.10.2021;4.6;4.3;11.1
Bergen - Florida;SN50540;08.10.2021;46;5;14.2
Bergen - Florida;SN50540;09.10.2021;31;6;13.8
Bergen - Florida;SN50540;10.10.2021;33.4;2.8;11.3
Bergen - Florida;SN50540;11.10.2021;26.4;3.8;7.1
Bergen - Florida;SN50540;12.10.2021;13.7;2.6;6.5
Bergen - Florida;SN50540;13.10.2021;0.1;4.4;7.2
Bergen - Florida;SN50540;14.10.2021;18.4;3.9;10.8
Bergen - Florida;SN50540;15.10.2021;31.8;5.1;7.7
Bergen - Florida;SN50540;16.10.2021;16.9;1.7;7
Bergen - Florida;SN50540;17.10.2021;4.6;1.4;4.7
Bergen - Florida;SN50540;18.10.2021;0;1.2;4.5
Bergen - Florida;SN50540;19.10.2021;4.8;5.8;11
Bergen - Florida;SN50540;20.10.2021;56.9;4.5;10.6
Bergen - Florida;SN50540;21.10.2021;27.6;5;5
Bergen - Florida;SN50540;22.10.2021;8.8;5.1;4.6
Bergen - Florida;SN50540;23.10.2021;7.2;3.8;6.6
Bergen - Florida;SN50540;24.10.2021;2.2;5.7;10.3
Bergen - Florida;SN50540;25.10.2021;50.7;4.6;10.6
Bergen - Florida;SN50540;26.10.2021;10.5;4.1;9.1
Bergen - Florida;SN50540;27.10.2021;32.3;4.1;11.9
Bergen - Florida;SN50540;28.10.2021;26;5;12.1
Bergen - Florida;SN50540;29.10.2021;87.9;6.6;13.7
Bergen - Florida;SN50540;30.10.2021;10.6;6.6;11.9
Bergen - Florida;SN50540;31.10.2021;6.7;5.2;10.6
Bergen - Florida;SN50540;01.11.2021;13.8;6.8;11.2
Bergen - Florida;SN50540;02.11.2021;7.7;4.8;9.6
Bergen - Florida;SN50540;03.11.2021;0.8;2.9;8
Bergen - Florida;SN50540;04.11.2021;1.9;1.7;6.7
Bergen - Florida;SN50540;05.11.2021;5.2;1.9;7
Bergen - Florida;SN50540;06.11.2021;15.5;4.3;6.9
Bergen - Florida;SN50540;07.11.2021;25;2.8;8.2
Bergen - Florida;SN50540;08.11.2021;12.7;3.8;7.5
Bergen - Florida;SN50540;09.11.2021;25.8;4.8;9.6
Bergen - Florida;SN50540;10.11.2021;7.3;3.2;8.2
Bergen - Florida;SN50540;11.11.2021;13.3;3.7;7.1
Bergen - Florida;SN50540;12.11.2021;7.4;3.7;7.7
Bergen - Florida;SN50540;13.11.2021;0.5;1.9;8.6
Bergen - Florida;SN50540;14.11.2021;0;2.9;5.8
Bergen - Florida;SN50540;15.11.2021;0;5.4;8.4
Bergen - Florida;SN50540;16.11.2021;29.2;5.9;9.3
Bergen - Florida;SN50540;17.11.2021;36.5;2.6;6.1
Bergen - Florida;SN50540;18.11.2021;10.2;4.1;7.5
Bergen - Florida;SN50540;19.11.2021;35.5;4.4;9.1
Bergen - Florida;SN50540;20.11.2021;7.2;3;6.3
Bergen - Florida;SN50540;21.11.2021;13.5;3.1;3.1
Bergen - Florida;SN50540;22.11.2021;2.2;3.1;4.9
Bergen - Florida;SN50540;23.11.2021;12.4;2.3;7.2
Bergen - Florida;SN50540;24.11.2021;18.9;2.7;6.8
Bergen - Florida;SN50540;25.11.2021;23.1;3.4;2.5
Bergen - Florida;SN50540;26.11.2021;0.1;2.9;2.5
Bergen - Florida;SN50540;27.11.2021;0;0.9;-0.5
Bergen - Florida;SN50540;28.11.2021;0;1;-4
Bergen - Florida;SN50540;29.11.2021;0;4.7;-2
Bergen - Florida;SN50540;30.11.2021;8.1;3.1;0.6
Bergen - Florida;SN50540;01.12.2021;0.1;1.4;-2.5
Bergen - Florida;SN50540;02.12.2021;0.2;1.9;-2.1
