date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-02-10,-1.7,-6.3,1.3,0,180,88,9.5,18,998.8,
2024-02-11,1.1,-1.2,5.2,4.5,150,194,3.9,22,997.4,
2024-02-12,2.7,1.7,5,3.1,100,129,9,33.1,997.1,
2024-02-13,3.2,1.8,4.8,16.4,60,150,21.1,45,1001.4,
2024-02-14,4.6,3.1,5.4,5.4,0,162,16.3,51.5,1008.3,
2024-02-15,3.8,1.5,6.6,18.3,0,96,7.4,34.9,1009.3,
2024-02-16,5.5,3.9,6.9,8.6,0,177,12,35.6,1002.7,
2024-02-17,1.4,-1.1,6.3,0,0,346,6.8,26.3,1023.6,
2024-02-18,3.7,-0.4,6.2,7.8,0,138,14,43.2,1017.8,
2024-02-19,5.8,4.7,7,8.5,0,134,9.9,38.5,1013.6,
2024-02-20,6.4,5.8,7.3,19.1,0,157,15.3,46.1,1009.9,
2024-02-21,6.2,5.2,8.7,9.4,0,151,17.9,69.8,998.8,
2024-02-22,5.9,3.6,8.7,27.7,0,160,17.4,64.4,980.1,
2024-02-23,2.9,1.5,7.4,28,0,238,10.7,50.4,971.7,
2024-02-24,5.3,3.2,6.7,1,0,158,16.8,41.8,991.8,
2024-02-25,3.9,1.4,5.8,15.2,0,154,12.8,30.6,1000,
2024-02-26,3.2,0.8,5.8,0.7,0,54,6.7,20.9,1012.8,
2024-02-27,3.4,2.5,4.7,13.1,0,157,23.5,68.8,1010,
2024-02-28,6,3.1,7.1,6.6,0,175,21.3,61.6,1006.1,
2024-02-29,6.9,5.2,7.8,6.2,0,160,29.3,73.1,995.9,
2024-03-01,5.7,4.4,7.4,9.3,0,141,10.9,46.1,998.7,
2024-03-02,7.2,2.4,12.1,0,0,99,7.7,27,1005.5,
2024-03-03,7.7,3.3,11.8,0,0,86,6.2,20.2,1010.5,
2024-03-04,9.3,7.4,12.2,1.4,0,87,6.4,16.6,1015.3,
2024-03-05,6,1,12.8,0,0,118,3.6,14.8,1024.3,
2024-03-06,2.9,0.4,6.8,0.1,0,150,6.4,40.3,1030.3,
2024-03-07,4.1,2.5,6,0,0,344,5.1,16.6,1032.7,
2024-03-08,2.8,-1.6,9.1,0,0,16,4.7,16.9,1025.3,
2024-03-09,3,-2.7,9.7,0,0,64,4.7,16.9,1016.9,
2024-03-10,2.7,-2.1,8.2,0,0,93,5.4,18.7,1016.4,
2024-03-11,3.2,-1.3,7.2,0,0,43,4.7,18,1015.6,
2024-03-12,4.4,1,8,0,0,145,5.1,16.9,1013.4,
2024-03-13,7.1,4.5,8.8,30.4,0,156,23.7,61.6,1001.1,
2024-03-14,7,6,8.6,0.2,0,177,19.6,42.5,997.7,
2024-03-15,5.8,4.9,7.8,8.1,0,339,8.5,25.9,994.9,
2024-03-16,5.2,3.9,9.1,0,0,352,18.3,53.6,1007.9,
2024-03-17,3.6,-1.7,6.3,3.1,0,152,15.5,49.7,1020.2,
2024-03-18,5.7,3.1,7.4,1.9,0,153,18.7,45,1014.9,
2024-03-19,7.2,5.1,9.1,14.8,0,156,25,64.8,1010,
2024-03-20,5.5,4.5,8.1,0,0,38,4.3,19.1,1017.8,
2024-03-21,4.2,2.1,5.4,12.1,0,154,19.6,70.9,1012.8,
2024-03-22,6.2,4.1,6.9,29.4,0,187,17.9,49,997.5,
2024-03-23,5.4,4.3,5.8,10.3,0,150,19.6,51.8,987.4,
2024-03-24,6.1,1.4,11.7,0,0,348,11.1,35.6,995.8,
2024-03-25,3.7,-0.8,9.4,0,0,331,7.9,29.9,1000.7,
2024-03-26,2.1,-1.5,5.6,2.9,0,141,8.1,40.7,997.3,
2024-03-27,7.6,2.9,10.2,7.5,0,105,16.3,49.3,988.7,
2024-03-28,8,5.6,9.5,10.2,0,63,6.1,23.8,986.1,
2024-03-29,7.5,5.6,13.3,4.9,0,158,18.8,50.8,984.7,
2024-03-30,9.2,6.2,12.9,10.2,0,159,15.9,57.2,996.6,
2024-03-31,7,5.8,9.9,1.8,0,280,6.2,23,1001.1,
2024-04-01,7.5,1,14.2,0,0,339,6.9,23,1001,
2024-04-02,8.2,2.9,14.6,0,0,49,7,24.5,1003.3,
2024-04-03,4.5,2.4,9.6,2.5,0,155,11.6,36.7,1007.2,
2024-04-04,1.7,0.4,3.2,4.6,0,17,4.8,12.6,1004.2,
2024-04-05,3.2,-0.9,5.8,0,0,324,4.3,18.4,1003.1,
2024-04-06,8.2,2.1,15.2,8.9,0,143,15.9,64.1,1001.7,
2024-04-07,9.7,7.7,15,7.1,0,162,24.1,63,995.3,
2024-04-08,9.3,8.2,11.4,0,0,169,23.1,49.7,1002.3,
2024-04-09,10.6,7.6,14.2,16.1,0,150,11,38.5,1003.6,
2024-04-10,7.2,5,10,15.1,0,221,14.6,52.2,1007.4,
2024-04-11,8.2,5.7,10.7,11.6,0,182,20,56.5,1011.8,
2024-04-12,9.6,7.4,10.7,12.5,0,161,17.6,50.8,1015.5,
2024-04-13,8.8,7.8,10.8,16.3,0,169,19.1,60.8,1007.5,
2024-04-14,6.5,4.9,9.8,0.2,0,278,14.1,46.4,1004.8,
2024-04-15,8,4.2,11.7,0,0,126,14.6,34.2,1001.6,
2024-04-16,5.4,1.3,10.8,1.9,0,345,7.6,32.8,1004.8,
2024-04-17,6.7,1.6,12.3,0,0,331,8.9,32,1010.1,
2024-04-18,5.2,1,9.8,0.3,0,152,14.6,42.1,1011.5,
2024-04-19,5.2,4.4,6.2,0.7,0,145,12.1,36,1007.5,
2024-04-20,5.7,3.5,9.2,0,0,337,22,55.1,1020.7,
2024-04-21,5.6,-0.6,12,0,0,349,6.5,27,1030.4,
2024-04-22,6.4,0.8,9.5,0,0,154,6.5,22,1027.2,
2024-04-23,6.4,4,10.4,0,0,337,20.5,50.8,1018,
2024-04-24,4.6,2.5,10.7,0,0,326,14.8,42.1,1010.9,
2024-04-25,5.4,1.1,10.8,0.2,0,341,5.5,23.8,1004.8,
2024-04-26,7.7,3.6,12.7,0.3,0,278,7.5,25.6,1008,
2024-04-27,7.1,1.5,13.5,0,0,354,6.7,27.4,1012.5,
2024-04-28,9.8,2.7,14.1,1.1,0,96,10.5,47.2,1010.5,
